material,number_of_elements,mean_Valence,wtd_mean_Valence,std_Valence,wtd_std_Valence,entropy_Valence,wtd_entropy_Valence,mean_fie,wtd_mean_fie,std_fie,wtd_std_fie,entropy_fie,wtd_entropy_fie,mean_ElectronAffinity,wtd_mean_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,mean_atomic_radius,wtd_mean_atomic_radius,mean_atomic_mass,wtd_mean_atomic_mass,gmean_FusionHeat,wtd_gmean_FusionHeat,mean_FusionHeat,wtd_mean_FusionHeat,gmean_Valence,wtd_gmean_Valence,range_Valence,wtd_range_Valence,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,gmean_fie,wtd_gmean_fie,range_fie,wtd_range_fie,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,max,mean,min
La0.8Pr0.2Ba1Ca1Cu3O7,6,2.5,2.092307692,0.763762616,0.338461538,1.748970751,1.377019978,702.95,1004.369231,284.1419173,340.8631112,1.721209002,0.966270687,63.78666667,109.7246154,51.03267962,49.22688721,1.441924259,0.797676784,180.3333333,109.4923077,89.46058667,47.64190046,4.529604617,1.285531369,7.177,4.908769231,2.40187391,2.072514661,2,1.015384615,69.17003065,32.89457069,1.600741336,1.631946273,124.90825,12.49665154,51.46121833,43.20889952,659.8721157,939.3934439,810.6,698.9523077,159.4815725,87.62682515,1.701529585,1.640688448,205,29.66153846,69.38699846,72.12086502,4467.904833,2938.061769,1190.209141,63.91794112,1.481174615,0.97950189,8958.571,2066.922846,3084.749489,3745.615864,37.09206288,80.67842937,138.63,76.43307692,1.597347995,1.201884625,12.878,2.916923077,3.804271941,5.407490448,107.3377633,110.0912354,13.6500433,1.292434411,0.91693145,0.526178761,399.97342,92.29338,148.0617147,167.086335,52.0,52.0,52.0
La0.8Pr0.2Ba2Cu3O7,5,2.6,2.092307692,0.8,0.338461538,1.56495725,1.275086569,725.66,997.6846154,306.2506986,349.6736893,1.530602967,0.89778031,75.77,110.6153846,47.57730131,47.37324133,1.399561608,0.817160246,177.6,114.0307692,99.337104,55.12259277,3.990072431,1.279088322,6.9044,4.867230769,2.491461879,2.072514661,2,1.015384615,77.14723291,36.16317243,1.442934938,1.426195932,124.90825,18.95942077,50.91792241,49.24806253,674.9470535,927.9375528,810.6,698.9523077,153.352996,89.43504979,1.500181861,1.413406668,205,35.12307692,75.71419946,78.83946088,5051.4858,3088.831,1128.967911,68.0657413,1.337587677,0.945521089,8958.571,2066.922846,3061.929918,3726.105275,58.2901257,89.7438995,127.05,75.93846154,1.371224701,1.019463023,12.878,2.916923077,4.113528587,5.381448392,88.805316,96.09123538,7.979117041,1.073904417,0.431347919,0.194831376,399.97342,92.29338,155.7113226,166.5905098,59.8,40.15,20.5
La0.95Ca0.05Ba1.5Sr0.5Cu3O6.878,6,2.166666667,2.073769219,0.372677996,0.261394952,1.778233306,1.30548267,706.6833333,996.9146451,281.9389498,347.0040239,1.723010853,0.943226633,56.29166667,109.7587747,55.40204551,48.55511202,1.281787028,0.798003602,175.6666667,112.5247709,80.57931167,53.14850673,4.642662469,1.300184464,7.360333333,4.910616245,2.139826388,2.060725334,1,1.060413108,63.90420174,35.63299385,1.611305409,1.521657982,122.90607,15.83992856,46.13904188,46.65766647,664.4694601,928.7739861,810.6,699.0240565,156.3153772,89.13158052,1.706270227,1.540753441,205,33.02531449,65.58370394,75.73345437,3799.5715,3058.396386,1019.971162,69.36063212,1.441043179,0.940542417,8958.571,2086.51742,2974.165332,3721.243748,26.29048791,85.5098818,138.63,76.09267743,1.601598686,1.132402948,12.878,3.018558782,3.813000641,5.388891031,111.00443,98.38739068,16.09983694,1.15346843,0.997103178,0.277265126,399.97342,93.16797506,145.9372581,166.8707923,66.0,66.0,66.0
La0.9Ba1.5Ca0.6Cu3O6.74,5,2.2,2.070643642,0.4,0.256228644,1.594166699,1.300990108,738.22,995.2648352,299.0319675,345.1238576,1.53656958,0.949735973,66.244,109.1206436,55.57850613,49.2209548,1.209740908,0.794470786,167.0,112.2386185,79.171174,51.2971883,4.16392152,1.330307536,7.2324,4.991387755,2.168943542,2.058115406,1,0.96389325,59.99494331,34.68715193,1.389953237,1.458502954,122.90607,14.28129513,50.42495724,45.97845987,690.3281148,928.1903424,810.6,666.9273155,146.1211967,89.30347545,1.508759894,1.511963391,205,25.00784929,68.6352679,74.61534779,4033.4858,3031.085672,843.9453445,70.47203566,1.224750185,0.89401365,8958.571,2109.134108,3207.256758,3734.874766,34.73567471,82.48077352,138.63,75.20627943,1.378110416,1.118792833,12.878,2.967324961,4.165161106,5.412631233,126.205316,106.6624136,13.7839016,1.300497731,0.835026704,0.444094555,399.97342,94.17746082,155.4696702,168.0287351,73.0,73.0,73.0
La0.9Ca0.1Ba1.5Sr0.5Cu3O6.847,6,2.166666667,2.070055266,0.372677996,0.255240133,1.778233306,1.316223502,706.6833333,996.3396668,281.9389498,346.840728,1.723010853,0.951170463,56.29166667,109.5021795,55.40204551,48.88907261,1.281787028,0.795794287,175.6666667,112.6765782,80.57931167,52.85351559,4.642662469,1.307288748,7.360333333,4.930647933,2.139826388,2.057624468,1,1.050361952,63.90420174,35.52961521,1.611305409,1.531502837,122.90607,15.7221686,46.13904188,46.37689226,664.4694601,928.3071029,810.6,695.2483615,156.3153772,89.26300694,1.706270227,1.55779317,205,32.34996497,65.58370394,75.75413191,3799.5715,3047.885449,1019.971162,69.63910379,1.441043179,0.942447614,8958.571,2091.555666,2974.165332,3718.8925,26.29048791,84.5615852,138.63,75.91737371,1.601598686,1.149349429,12.878,2.992605277,3.813000641,5.394490479,111.00443,99.35253314,16.09983694,1.176459546,0.997103178,0.307791282,399.97342,93.39285489,145.9372581,167.0346832,68.0,68.0,68.0
La0.9Pr0.1Ba1.5Sr0.5Cu3O6.904,6,2.5,2.085244885,0.763762616,0.305740519,1.748970751,1.337202761,696.2166667,997.2522009,287.2150032,347.327134,1.718529954,0.945494236,64.23,110.017049,50.51921417,48.2050735,1.461742852,0.81215382,184.5,112.8016119,97.38425333,53.47210521,4.480560172,1.294948495,7.087,4.897139492,2.40187391,2.068447329,2,1.039057657,78.80144284,35.75126865,1.649190885,1.57356978,124.90825,14.87133718,46.68615585,46.9654538,652.1089271,928.9188096,810.6,698.4642281,162.736226,89.18550276,1.700780095,1.567231692,205,31.79634222,70.8184298,76.29136856,4647.904833,3073.873668,1299.852149,69.22996465,1.523835456,0.989917206,8958.571,2082.310461,2937.215291,3727.197072,40.47138094,86.47398416,135.97,75.98845319,1.596756973,1.141408009,12.878,2.992095474,3.777253632,5.384969443,79.83776333,97.46462402,10.20877668,1.132678775,0.661327094,0.238649463,399.97342,92.98019929,143.551727,166.7232465,44.0,44.0,44.0
La0.9Pr0.1Ba2Cu3O7,5,2.6,2.084615385,0.8,0.304696959,1.56495725,1.249430393,725.66,997.7961538,306.2506986,349.5256868,1.530602967,0.89082556,75.77,110.6,47.57730131,47.39275748,1.399561608,0.810644774,177.6,113.6307692,99.337104,55.10719138,3.990072431,1.278193551,6.9044,4.862615385,2.491461879,2.067933384,2,1.046153846,77.14723291,36.15919162,1.442934938,1.391888284,124.90825,20.04332577,50.91792241,49.22153842,674.9470535,928.1314611,810.6,703.0030769,153.352996,89.27257108,1.500181861,1.385311536,205,37.02307692,75.71419946,78.29383888,5051.4858,3085.031,1128.967911,68.0252749,1.337587677,0.916427113,8958.571,2066.922846,3061.929918,3722.732115,58.2901257,89.71655998,127.05,76.33461538,1.371224701,0.999943,12.878,2.97,4.113528587,5.379960102,88.805316,96.09123538,7.979117041,1.073904417,0.431347919,0.193006866,399.97342,92.29338,155.7113226,166.5905098,68.3,68.3,68.3
La1.05Ba1.5Ca0.45Cu3O6.81,5,2.2,2.081967213,0.4,0.274314763,1.594166699,1.291223919,738.22,996.4360656,299.0319675,345.6828836,1.53656958,0.94049236,66.244,109.8373536,55.57850613,48.23842965,1.209740908,0.802675084,167.0,111.8992974,79.171174,52.26153454,4.16392152,1.31267083,7.2324,4.939096019,2.168943542,2.067586584,1,0.992974239,59.99494331,35.04719145,1.389953237,1.445191736,122.90607,14.67255269,50.42495724,46.86944581,690.3281148,929.0209768,810.6,677.3599532,146.1211967,89.0063793,1.508759894,1.499225809,205,27.14285714,68.6352679,74.57471412,4033.4858,3068.347501,843.9453445,70.10854132,1.224750185,0.899379665,8958.571,2097.600977,3207.256758,3742.961559,34.73567471,85.23375528,138.63,75.61932084,1.378110416,1.106551133,12.878,2.949896956,4.165161106,5.397281734,126.205316,103.8900086,13.7839016,1.233038815,0.835026704,0.402741105,399.97342,93.66268464,155.4696702,167.7335276,74.0,74.0,74.0
La1.1Ba1.4Sr0.5Cu3O6.954,5,2.2,2.084915856,0.4,0.278756441,1.594166699,1.289848032,730.14,998.8812259,303.4570718,346.649414,1.532944285,0.93100105,66.776,110.389841,54.98851247,47.7469065,1.233319145,0.803048034,172.0,111.7023313,88.679574,53.32419674,4.10987827,1.282892806,7.1244,4.8613392,2.168943542,2.07006001,1,0.996448973,70.15426661,35.63969634,1.445332031,1.514009586,122.90607,11.45961093,46.48535171,46.92578264,680.5938239,930.8873957,810.6,683.7113942,149.7068586,88.63194414,1.505963547,1.522482557,205,25.12737378,71.27973064,75.00977045,4249.4858,3078.550044,938.0783908,68.45547653,1.279637151,0.939331597,8958.571,2074.267619,3065.983373,3731.067701,38.56702881,87.39641456,135.97,76.24517524,1.376747034,1.110212146,12.878,2.914637332,4.136759775,5.375327593,93.205316,97.0499334,9.727019218,1.113591717,0.551648333,0.234521196,399.97342,92.62121064,153.8062717,166.5297338,50.1,50.1,50.1
La1.1Ba1.5Ca0.4Cu3O6.76,5,2.2,2.086206897,0.4,0.280669321,1.594166699,1.290069938,738.22,995.0059561,299.0319675,346.0247709,1.53656958,0.941145572,66.244,109.8881661,55.57850613,47.98068113,1.209740908,0.808396294,167.0,112.153605,79.171174,52.79088252,4.16392152,1.32026904,7.2324,4.948802508,2.168943542,2.071143912,1,0.996865204,59.99494331,35.32668766,1.389953237,1.438712237,122.90607,14.88709248,50.42495724,47.20969436,690.3281148,927.4514298,810.6,677.1783699,146.1211967,89.2238062,1.508759894,1.492942848,205,28.00940439,68.6352679,74.61744594,4033.4858,3098.374611,843.9453445,71.57154054,1.224750185,0.900000799,8958.571,2105.826016,3207.256758,3748.997415,34.73567471,85.91606191,138.63,75.37241379,1.378110416,1.099868419,12.878,2.962326019,4.165161106,5.395735527,126.205316,103.5642383,13.7839016,1.238383111,0.835026704,0.387026946,399.97342,94.02980558,155.4696702,167.9243253,34.0,34.0,34.0
La1.1Ba1.5Ca0.4Cu3O6.82,5,2.2,2.085803432,0.4,0.280073567,1.594166699,1.287311143,738.22,996.4946958,299.0319675,345.8960992,1.53656958,0.937540373,66.244,110.0407956,55.57850613,47.91999082,1.209740908,0.805763729,167.0,111.8533541,79.171174,52.6186915,4.16392152,1.309298065,7.2324,4.926680187,2.168943542,2.07080512,1,1.001560062,59.99494331,35.19596992,1.389953237,1.439262475,122.90607,14.8174181,50.42495724,47.16598099,690.3281148,928.9619256,810.6,680.1546022,146.1211967,88.96530144,1.508759894,1.492917941,205,27.87831513,68.6352679,74.57128865,4033.4858,3083.880326,843.9453445,70.27250143,1.224750185,0.900016875,8958.571,2095.963668,3207.256758,3746.182003,34.73567471,86.11975566,138.63,75.68658346,1.378110416,1.100424191,12.878,2.947422777,4.165161106,5.392752686,126.205316,103.0796627,13.7839016,1.216317804,0.835026704,0.387037218,399.97342,93.58960409,155.4696702,167.6798777,72.0,72.0,72.0
La1.1Ba1.5Ca0.4Cu3O6.97,5,2.2,2.084811103,0.4,0.278600394,1.594166699,1.280438149,738.22,1000.156284,299.0319675,345.5521383,1.53656958,0.928649586,66.244,110.4161912,55.57850613,47.7683189,1.209740908,0.799248875,167.0,111.1148805,79.171174,52.19518389,4.16392152,1.282700996,7.2324,4.872269854,2.168943542,2.069972089,1,1.01310717,59.99494331,34.87652084,1.389953237,1.440585722,122.90607,14.64605243,50.42495724,47.05561364,690.3281148,932.6874975,810.6,687.4747109,146.1211967,88.33268514,1.508759894,1.492797067,205,27.55589823,68.6352679,74.4524908,4033.4858,3048.231313,843.9453445,67.17691151,1.224750185,0.90005698,8958.571,2071.707006,3207.256758,3739.009383,34.73567471,86.62280184,138.63,76.45929067,1.378110416,1.101804712,12.878,2.910767926,4.165161106,5.385022664,126.205316,101.8878383,13.7839016,1.163705865,0.835026704,0.387062851,399.97342,92.50691884,155.4696702,167.0711528,70.0,70.0,70.0
La1.1Ba1.5Ca0.4Cu3O7.06,5,2.2,2.084226646,0.4,0.277727417,1.594166699,1.27633167,738.22,1002.312864,299.0319675,345.3312273,1.53656958,0.923397541,66.244,110.6372894,55.57850613,47.67737925,1.209740908,0.79538542,167.0,110.6799387,79.171174,51.94574893,4.16392152,1.267289543,7.2324,4.840223583,2.168943542,2.069481612,1,1.019908116,59.99494331,34.68973208,1.389953237,1.441344548,122.90607,14.54512251,50.42495724,46.98870276,690.3281148,934.8887501,810.6,691.7860643,146.1211967,87.96219762,1.508759894,1.492685468,205,27.36600306,68.6352679,74.37900241,4033.4858,3027.234972,843.9453445,65.41789022,1.224750185,0.900080987,8958.571,2057.420464,3207.256758,3734.619222,34.73567471,86.92045682,138.63,76.9143951,1.378110416,1.102627002,12.878,2.889179173,4.165161106,5.380207209,126.205316,101.1858847,13.7839016,1.133790101,0.835026704,0.3870782,399.97342,91.86924542,155.4696702,166.7076026,79.0,79.0,79.0
La1.1Ba1.5Ca0.4Cu3O7.11,5,2.2,2.083905416,0.4,0.277245914,1.594166699,1.274056158,738.22,1003.498169,299.0319675,345.204012,1.53656958,0.920506025,66.244,110.7588101,55.57850613,47.6268857,1.209740908,0.793253719,167.0,110.4408848,79.171174,51.80865378,4.16392152,1.258898054,7.2324,4.822610221,2.168943542,2.069212084,1,1.023646072,59.99494331,34.58749507,1.389953237,1.441754973,122.90607,14.48964912,50.42495724,46.95132208,690.3281148,936.1008204,810.6,694.1556827,146.1211967,87.75923137,1.508759894,1.492611145,205,27.26163234,68.6352679,74.33749686,4033.4858,3015.694904,843.9453445,64.47078453,1.224750185,0.900094306,8958.571,2049.568254,3207.256758,3732.153788,34.73567471,87.08449015,138.63,77.16453089,1.378110416,1.103081905,12.878,2.877313501,4.165161106,5.377477363,126.205316,100.800075,13.7839016,1.117676495,0.835026704,0.387086718,399.97342,91.51876554,155.4696702,166.5061889,77.0,77.0,77.0
La1.1Ba1.5Ca0.4Cu3O7.123,5,2.2,2.083822297,0.4,0.277121127,1.594166699,1.273465225,738.22,1003.804869,299.0319675,345.1704243,1.53656958,0.91975728,66.244,110.7902538,55.57850613,47.61376118,1.209740908,0.792701188,167.0,110.3790292,79.171174,51.77318016,4.16392152,1.256735804,7.2324,4.818052732,2.168943542,2.069142349,1,1.024613274,59.99494331,34.56109016,1.389953237,1.441860394,122.90607,14.47529528,50.42495724,46.94157971,690.3281148,936.4147016,810.6,694.7688257,146.1211967,87.7067898,1.508759894,1.4925904,205,27.23462623,68.6352679,74.32662824,4033.4858,3012.70889,843.9453445,64.22796029,1.224750185,0.900097767,8958.571,2047.53648,3207.256758,3731.509775,34.73567471,87.12698445,138.63,77.22925398,1.378110416,1.103199955,12.878,2.874243237,4.165161106,5.376761388,126.205316,100.7002461,13.7839016,1.113544496,0.835026704,0.387088931,399.97342,91.42807823,155.4696702,166.4538874,76.0,76.0,76.0
La1.1Ba1.5Ca0.4Cu3O7.17,5,2.2,2.083523159,0.4,0.276671359,1.594166699,1.271331226,738.22,1004.908656,299.0319675,345.047262,1.53656958,0.917060715,66.244,110.9034169,55.57850613,47.56632516,1.209740908,0.790709456,167.0,110.1564161,79.171174,51.64551367,4.16392152,1.248984743,7.2324,4.801650721,2.168943542,2.068891398,1,1.028094153,59.99494331,34.46622789,1.389953237,1.442237125,122.90607,14.42363705,50.42495724,46.906279,690.3281148,937.5452042,810.6,696.9754746,146.1211967,87.51831631,1.508759894,1.492510552,205,27.13743356,68.6352679,74.28707362,4033.4858,3001.962485,843.9453445,63.36160078,1.224750185,0.900110272,8958.571,2040.224303,3207.256758,3729.171322,34.73567471,87.28008947,138.63,77.46218679,1.378110416,1.103625989,12.878,2.863193622,4.165161106,5.374151883,126.205316,100.3409703,13.7839016,1.098799802,0.835026704,0.387096929,399.97342,91.10170246,155.4696702,166.2650267,70.0,70.0,70.0
La1.1Ba1.5Ca0.4Cu3O7.25,5,2.2,2.083018868,0.4,0.275910738,1.594166699,1.26770786,738.22,1006.769434,299.0319675,344.8315354,1.53656958,0.912508119,66.244,111.0941887,55.57850613,47.48563911,1.209740908,0.787340398,167.0,109.7811321,79.171174,51.43029185,4.16392152,1.236025979,7.2324,4.774,2.168943542,2.06846841,1,1.033962264,59.99494331,34.30689694,1.389953237,1.442862652,122.90607,14.33655094,50.42495724,46.84592074,690.3281148,939.4541107,810.6,700.6954717,146.1211967,87.20150171,1.508759894,1.492357411,205,26.97358491,68.6352679,74.21883262,4033.4858,2983.846057,843.9453445,61.92745526,1.224750185,0.900131532,8958.571,2027.89734,3207.256758,3725.155621,34.73567471,87.53880522,138.63,77.85486792,1.378110416,1.104348408,12.878,2.844566038,4.165161106,5.369636452,126.205316,99.73529849,13.7839016,1.074383664,0.835026704,0.387110528,399.97342,90.55149396,155.4696702,165.9443953,35.0,35.0,35.0
La1.25Ba1.35Ca0.4Cu3O7.16,5,2.2,2.094984802,0.4,0.293193946,1.594166699,1.27373451,738.22,1005.114438,299.0319675,344.4571948,1.53656958,0.919238956,66.244,111.2675152,55.57850613,46.93086395,1.209740908,0.798084108,167.0,109.5425532,79.171174,51.69059206,4.16392152,1.247224528,7.2324,4.785753799,2.168943542,2.078528526,1,1.027355623,59.99494331,34.49082551,1.389953237,1.447654544,122.90607,13.26799392,50.42495724,46.94693635,690.3281148,938.0962422,810.6,696.5072948,146.1211967,87.29878534,1.508759894,1.502352367,205,27.15805471,68.6352679,73.27296582,4033.4858,3034.288119,843.9453445,63.95146744,1.224750185,0.903245813,8958.571,2041.775711,3207.256758,3744.212686,34.73567471,88.41321785,138.63,77.41276596,1.378110416,1.107555286,12.878,2.865537994,4.165161106,5.366214461,126.205316,100.3602061,13.7839016,1.097832081,0.835026704,0.385842044,399.97342,91.17094888,155.4696702,166.3342674,79.8,79.8,79.8
La1.25Ba1.45Ca0.3Cu3O7.15,5,2.2,2.095057034,0.4,0.2932937,1.594166699,1.264096243,738.22,1004.219392,299.0319675,345.3620112,1.53656958,0.912998437,66.244,111.3318251,55.57850613,46.74975592,1.209740908,0.800478272,167.0,110.0380228,79.171174,52.45726977,4.16392152,1.248242454,7.2324,4.785117871,2.168943542,2.078589401,1,1.041825095,59.99494331,34.8357028,1.389953237,1.429854317,122.90607,14.22819392,50.42495724,47.52765158,690.3281148,936.7194378,810.6,700.5205323,146.1211967,87.51503916,1.508759894,1.479791122,205,28.6539924,68.6352679,73.97393488,4033.4858,3051.499418,843.9453445,64.53648716,1.224750185,0.90055313,8958.571,2043.329479,3207.256758,3742.654902,34.73567471,89.31647049,138.63,77.39269962,1.378110416,1.088961573,12.878,2.867885932,4.165161106,5.364112322,126.205316,99.05247506,13.7839016,1.080966592,0.835026704,0.351643734,399.97342,91.24030061,155.4696702,166.2974657,75.2,75.2,75.2
La1.25Ba1.55Ca0.2Cu3O7.16,5,2.2,2.094984802,0.4,0.293193946,1.594166699,1.250609182,738.22,1003.793769,299.0319675,346.2106629,1.53656958,0.903834173,66.244,111.443503,55.57850613,46.54794996,1.209740908,0.801855346,167.0,110.4392097,79.171174,53.16854039,4.16392152,1.245987026,7.2324,4.777547112,2.168943542,2.078528526,1,1.05775076,59.99494331,35.14244767,1.389953237,1.409611356,122.90607,15.56544453,50.42495724,48.07529382,690.3281148,935.8249052,810.6,705.4647416,146.1211967,87.6517853,1.508759894,1.451665084,205,30.10638298,68.6352679,74.6490784,4033.4858,3064.075353,843.9453445,64.75082072,1.224750185,0.896008632,8958.571,2041.775711,3207.256758,3740.080034,34.73567471,90.29303302,138.63,77.47158055,1.378110416,1.065025864,12.878,2.865537994,4.165161106,5.360876986,126.205316,97.59424869,13.7839016,1.058383222,0.835026704,0.311289582,399.97342,91.17094888,155.4696702,166.1675161,68.5,68.5,68.5
La1.25Ba1.5Ca0.25Cu3O6.74,5,2.2,2.09811617,0.4,0.297471657,1.594166699,1.276034331,738.22,993.9379121,299.0319675,346.7706873,1.53656958,0.932746204,66.244,110.3742151,55.57850613,47.05797504,1.209740908,0.819248129,167.0,112.2660911,79.171174,54.01222869,4.16392152,1.31923588,7.2324,4.929849294,2.168943542,2.081169226,1,1.018838305,59.99494331,35.89208424,1.389953237,1.416154891,122.90607,15.38233909,50.42495724,48.10454034,690.3281148,926.012649,810.6,683.1196232,146.1211967,89.31609021,1.508759894,1.466560948,205,30.33751962,68.6352679,74.6456243,4033.4858,3157.349408,843.9453445,73.19013607,1.224750185,0.898429852,8958.571,2109.134108,3207.256758,3760.271307,34.73567471,88.46304973,138.63,75.31259812,1.378110416,1.073930352,12.878,2.967324961,4.165161106,5.384596898,126.205316,101.525051,13.7839016,1.206416667,0.835026704,0.332301154,399.97342,94.17746082,155.4696702,167.955149,70.0,70.0,70.0
La1.25Ba1.65Ca0.1Cu3O7.15,5,2.2,2.095057034,0.4,0.2932937,1.594166699,1.233719081,738.22,1002.897719,299.0319675,347.1088251,1.53656958,0.893196032,66.244,111.5079468,55.57850613,46.36480816,1.209740908,0.8038776,167.0,110.9353612,79.171174,53.93634202,4.16392152,1.247003001,7.2324,4.776904943,2.168943542,2.078589401,1,1.072243346,59.99494331,35.49434578,1.389953237,1.385726693,122.90607,16.92636882,50.42495724,48.62004358,690.3281148,934.4497118,810.6,709.4847909,146.1211967,87.86918321,1.508759894,1.415710878,205,31.60456274,68.6352679,75.33236624,4033.4858,3081.309304,843.9453445,65.34377008,1.224750185,0.888965535,8958.571,2043.329479,3207.256758,3738.380052,34.73567471,91.21694973,138.63,77.45155894,1.378110416,1.032929143,12.878,2.92365019,4.165161106,5.358767711,126.205316,96.28441422,13.7839016,1.042094767,0.835026704,0.261618395,399.97342,91.24030061,155.4696702,166.1087422,57.3,57.3,57.3
La1.25Ba1.75Cu3O7.07,4,2.25,2.095638868,0.433012702,0.29409535,1.368922361,1.209090728,775.425,1000.334124,323.8118078,348.1868517,1.305967036,0.879848668,81.8375,111.4068477,51.43371189,46.2484235,1.159686593,0.808474615,160.25,111.7719969,88.9444675,54.91261251,3.479474849,1.259615937,6.9055,4.800653405,2.213363839,2.079079826,1,0.814078041,66.36159243,36.00555731,1.181795239,1.353004813,122.90607,9.732707881,51.96882779,49.19707213,718.1529,931.368616,810.6,658.5495027,136.1260031,88.374348,1.259243972,1.360401545,205,15.22570773,75.2375405,76.06828595,4654.35725,3115.15708,724.9532109,67.31035322,1.033128801,0.87619497,8958.571,2055.845216,3306.162897,3739.69068,60.12317856,91.93686065,127.05,75.01434583,1.088575342,0.980469534,12.878,2.886798776,4.599064117,5.36057292,107.756645,95.48109568,7.06248773,1.046306059,0.30814799,0.188390392,399.97342,91.79893492,168.8542438,166.3377007,40.0,40.0,40.0
La1.25Ca0.05Ba1.7Cu3O7.03,5,2.2,2.095932464,0.4,0.294498601,1.594166699,1.227319079,738.22,999.7074444,299.0319675,347.8541674,1.53656958,0.89253518,66.244,111.2669609,55.57850613,46.38467199,1.209740908,0.809719333,167.0,111.7413661,79.171174,54.65889635,4.16392152,1.266663654,7.2324,4.816781274,2.168943542,2.07932734,1,1.071373753,59.99494331,35.92514736,1.389953237,1.370498463,122.90607,17.76300844,50.42495724,48.96784843,690.3281148,930.9566917,810.6,706.1874904,146.1211967,88.44992689,1.508759894,1.392602049,205,32.6400614,68.6352679,75.76985714,4033.4858,3117.194618,843.9453445,67.89780203,1.224750185,0.883927199,8958.571,2062.160716,3207.256758,3742.626597,34.73567471,91.32682322,138.63,76.86734459,1.378110416,1.010765133,12.878,2.983346124,4.165161106,5.364113875,126.205316,96.472514,13.7839016,1.067992826,0.835026704,0.230753422,399.97342,92.08082445,155.4696702,166.5625907,38.6,38.6,38.6
La1.25Ca0.15Ba1.6Cu3O7.052,5,2.2,2.095770763,0.4,0.294276611,1.594166699,1.247238077,738.22,1000.901486,299.0319675,346.927174,1.53656958,0.904693979,66.244,111.2308842,55.57850613,46.55731696,1.209740908,0.807317583,167.0,111.1818878,79.171174,53.84864437,4.16392152,1.263583211,7.2324,4.813173766,2.168943542,2.079191016,1,1.057615691,59.99494331,35.53927706,1.389953237,1.397204139,122.90607,16.37385075,50.42495724,48.42458147,690.3281148,932.6356288,810.6,702.6946981,146.1211967,88.17927036,1.508759894,1.434868948,205,31.09868219,68.6352679,75.07923397,4033.4858,3096.925935,843.9453445,67.0362356,1.224750185,0.892842274,8958.571,2058.682401,3207.256758,3743.959398,34.73567471,90.43107745,138.63,76.9483221,1.378110416,1.049279443,12.878,2.912886914,4.165161106,5.365572134,126.205316,97.70437038,13.7839016,1.081127477,0.835026704,0.287930761,399.97342,91.92557139,155.4696702,166.5696023,45.6,45.6,45.6
La1.25Ca0.1Ba1.65Cu3O7.06,5,2.2,2.095712098,0.4,0.29419601,1.594166699,1.237500132,738.22,1000.760031,299.0319675,347.3429756,1.53656958,0.898183246,66.244,111.2943721,55.57850613,46.45260853,1.209740908,0.807741236,167.0,111.3690658,79.171174,54.19777577,4.16392152,1.261922275,7.2324,4.808294028,2.168943542,2.079141559,1,1.065849923,59.99494331,35.68978551,1.389953237,1.384823164,122.90607,17.04301302,50.42495724,48.68482955,690.3281148,932.2616198,810.6,705.3251149,146.1211967,88.23607988,1.508759894,1.415603409,205,31.82235835,68.6352679,75.40947998,4033.4858,3102.533594,843.9453445,67.08800585,1.224750185,0.888942038,8958.571,2057.420464,3207.256758,3742.455815,34.73567471,90.93696074,138.63,77.0032925,1.378110416,1.032085539,12.878,2.943797856,4.165161106,5.363797558,126.205316,96.94775305,13.7839016,1.068777832,0.835026704,0.261602243,399.97342,91.86924542,155.4696702,166.4871389,38.8,38.8,38.8
